Title,Year
,2012
13th,N/A
4 Months 3 Weeks And 2 Days,N/A
8 Mile,N/A
A Beautiful Mind,N/A
A Season In Hakkari,N/A
A Silent Voice The Movie,N/A
A Summers Tale,N/A
Afire,N/A
Aggro Dr1ft,N/A
Akira,N/A
Alien,N/A
Alien 3,N/A
Alien Covenant,N/A
Alien Resurrection,N/A
Aliens,N/A
American Fiction,N/A
Amour,N/A
And Their Children After Them,N/A
Andrei Rublev,N/A
Anora,N/A
Antichrist,N/A
Ash Is Purest White,N/A
Avatar,N/A
Baby Driver,N/A
Baby Invasion,N/A
Barbara,N/A
Bird Box,N/A
Black Bag,2025
Black Christmas,N/A
Black Girl,1966
Blade Runner,2049
Blood Simple,N/A
Boyfriends And Girlfriends,N/A
Braveheart,N/A
Breaking The Waves,N/A
Bye Bye Tiberias,N/A
Camera,N/A
Carrie,1976
Casino Royale,2006
Charlie And The Chocolate Factory,N/A
Children Of Men,N/A
City Of God,N/A
Climax,2018
Coherence,N/A
Collateral,N/A
Concerning Violence,N/A
Conclave,N/A
Conscience,2008
Crash,N/A
Cure,N/A
Dancer In The Dark,N/A
Dead Poets Society,N/A
Death Note,2006
District 9,N/A
Divergent,N/A
Do The Right Thing,N/A
Dogtooth,N/A
Dogville,N/A
Donnie Darko,N/A
Dream Workers,N/A
Edward Scissorhands,N/A
Emilia Perez,N/A
Epidemic,N/A
Et The Extra Terrestrial,N/A
Europa,N/A
Everything Everywhere All At Once,N/A
Eyes Of The Spider,N/A
Fahrenheit 451,N/A
Fallen Leaves,2023
Fate,2024
Fate Stay Night Heavens Feel I Presage Flower,N/A
Fate Stay Night Heavens Feel Ii Lost Butterfly,N/A
Fate Stay Night Heavens Feel Iii Spring Song,N/A
First Cow,N/A
First Reformed,N/A
Ford V Ferrari,N/A
Frances Ha,N/A
Friends With Benefits,N/A
Gattaca,N/A
Get Out,2017
Ghost In The Shell,N/A
Ghost In The Shell,2017
Ghost Rider,N/A
Gladiator,2000
Gods Own Country,2017
Good Time,N/A
Grave Of The Fireflies,N/A
Gravity,2013
Grease,N/A
Hail Sarajevo,N/A
Hairpin Circus,N/A
Happening,N/A
Heat,1995
Hiroshima Mon Amour,N/A
Hive,2021
Hot Fuzz,N/A
Hot Ticket,1993
Hovering Over The Water,N/A
Husbands,N/A
I Am Love,N/A
I Am Not Your Negro,N/A
I Can No Longer Hear The Guitar,N/A
I Lost My Body,N/A
I Love You Man,N/A
I Robot,N/A
Ikiru,N/A
In Order Not To Be Here,N/A
In The Mood For Love,N/A
Inception,N/A
Independence Day,N/A
Inglourious Basterds,N/A
Interstellar,N/A
Isle Of Dogs,2018
It,2017
It Felt Like A Kiss,N/A
Ivy,2015
Jaws,N/A
Jujutsu Kaisen 0,N/A
Julien Donkey Boy,N/A
Kinds Of Kindness,N/A
King Of New York,N/A
Kisapmata,N/A
La Dolce Vita,N/A
La Haine,N/A
Lady Bird,N/A
Leon The Professional,N/A
Letter From An Unknown Woman,N/A
License To Live,N/A
Longlegs,N/A
Look Back,2024
Lost In Translation,N/A
Love,2015
Lucy,2014
Lust Caution,N/A
Manderlay,N/A
Mea Culpa,2024
Meanwhile On Earth,2024
Meeting The Man James Baldwin In Paris,N/A
Melancholia,N/A
Memories Of Murder,N/A
Mickey 17,N/A
Millennium Mambo,N/A
Minions,N/A
Mirror,N/A
Misericordia,2024
Mission Impossible,N/A
Mission Impossible Fallout,N/A
Mission Impossible Ii,N/A
Mission Impossible Iii,N/A
Mission Impossible Rogue Nation,N/A
Moneyball,N/A
Moor Mother Jazz Codes,N/A
Mulan,2020
Muriel Or The Time Of Return,N/A
My House Walk Through,N/A
My Neighbor Totoro,N/A
Nightcrawler,N/A
Nine Queens,N/A
No Hard Feelings,2023
Nosferatu,2024
Nostalgia,1983
Now You See Me,N/A
Oceans Eight,N/A
Oceans Eleven,2001
Oceans Twelve,N/A
Oldboy,N/A
On Fertile Lands,N/A
Paranormal Activity,N/A
Parasite,2019
Paris Is Burning,N/A
Paris Texas,N/A
Perfect Days,2023
Phantom Of The Paradise,N/A
Pink Floyd The Wall,N/A
Portrait Of A Lady On Fire,N/A
Pretend That You Love Me,N/A
Pride,2014
Princess Mononoke,N/A
Profit Nothing But Or Impolite Thoughts On The Class Struggle,N/A
Prometheus,N/A
Pulse,2001
Queer,2024
Rain Man,N/A
Rap World,N/A
Real Steel,N/A
Rebels Of The Neon God,N/A
Rec,N/A
Reservoir Dogs,N/A
River Of Grass,N/A
Rope,N/A
Run Lola Run,N/A
